transaction_id,customer_id,merchant,amount,location,transaction_time,card_present,card_type,currency,fraud_pattern,is_fraudulent
8f2cd5be-8914-4f37-857f-7faa48a21f0c,f41d69e0-bdf6-4a5e-8975-3ee63eb12719,"Washington, Mitchell and Rivera Subscription",308.16,"Dickersonmouth, Russia",2025-03-24T10:50:05.574984,False,virtual,USD,unusual_location,True
ba19cc70-5243-4e4a-b60c-bae0a7ccc070,34092841-9dee-4c77-a061-5ba65c790b92,Brennan-Benson Restaurant,217.07,Elizabethville,2025-03-24T21:58:04.675986,True,debit,USD,,
b88decd9-988f-4589-969c-945ce2ce226c,0345c223-501d-4af2-a2e5-a532a51fc61c,Robertson LLC Entertainment,1171.89,New Janiceville,2025-03-24T13:43:07.777032,True,platinum,USD,,
e6675b49-8fc2-4bd4-844a-eef9b2b841df,dd7dfb43-4c31-488a-a998-556cffb35b37,"Schroeder, Singh and Macdonald",524.13,Waltershaven,2025-03-24T12:51:45.877643,True,credit,USD,,
93d93c4c-f8cd-40a8-8d5e-3425a8582b13,92e2ec12-67ae-44e9-83ae-62937ba35c6f,"Wilson, Schmitt and Edwards Restaurant",14.42,Johnburgh,2025-03-24T14:55:07.979037,True,virtual,USD,,
7608af19-4960-4790-afb7-6f9ea1708e17,b5d32a23-6055-4a24-901e-5be3e9865827,Carr Group Entertainment,3006.29,Port Chris,2025-03-24T09:36:51.079522,True,debit,USD,,
05ce2c91-acbf-4a3f-ab94-8ca0d108f466,d30bce86-ad12-4bb8-8b06-a627d9f87fc2,Craig-Lewis Retail,179.89,Clarkhaven,2025-03-24T01:43:57.179916,True,business,USD,,
f318f7b6-f384-4458-aa9a-ea791d7cf1b8,cff8114e-ee8e-4812-8107-7484c5b9e31f,Freeman-Oliver Healthcare,6492.79,Beverlyport,2025-03-24T14:53:02.281465,True,virtual,USD,,
e3b5ebdc-7d14-4fe8-a6f9-8d7f76879bac,d9f56932-bf23-4714-a1d7-78771635a6aa,Castillo Group Restaurant,44.93,Colemanbury,2025-03-24T16:03:03.382753,True,platinum,USD,,
9e501636-2cea-4922-a624-d46291720268,673d2bd1-208d-4704-bfb7-a35da12026a0,Barnes-Frey Travel,52.43,South Ashleyshire,2025-03-24T23:08:55.483944,True,credit,USD,,
26b33aef-8629-4279-b844-08103fd23bac,c86bb30c-e9f8-423e-99dc-6058cb32aeaf,"Trujillo, Smith and Morris",40.4,Lindamouth,2025-03-24T03:49:32.584261,False,debit,USD,,
